"Country","Year","GDP_sum"
Honduras,2019,64.20000000000002
Honduras,2020,59.87635850000001
Honduras,2021,70.30000000000001
Hong Kong,2015,138.60399999999998
Hong Kong,2016,151.07
Hong Kong,2018,140.5
Hong Kong,2019,143.79999999999998
Hong Kong S.A.R. of China,2020,137.6746058
Hong Kong S.A.R. of China,2021,152.5
"Hong Kong S.A.R., China",2017,155.167484283447
Hungary,2015,112.09400000000001
Hungary,2016,124.142
Hungary,2017,128.60119342804
Hungary,2018,117.10000000000001
Hungary,2019,120.10000000000002
Hungary,2020,116.43071169999999
Hungary,2021,130.1
Iceland,2015,130.232
Iceland,2016,142.666
Iceland,2017,148.0633020401
Iceland,2018,134.3
Iceland,2019,138.0
Iceland,2020,132.65016079999998
Iceland,2021,148.2
India,2015,64.499
India,2016,74.03599999999999
India,2017,79.22212481498721
India,2018,72.1
India,2019,75.5
India,2020,73.0576158
India,2021,74.10000000000001
Indonesia,2015,82.827
Indonesia,2016,95.104
Indonesia,2017,99.55385923385619
Indonesia,2018,89.9
Indonesia,2019,93.10000000000001
Indonesia,2020,89.1720712
Indonesia,2021,95.39999999999998
Iran,2015,100.87999999999998
Iran,2016,111.758
Iran,2017,115.68731069564801
Iran,2018,105.89999999999999
Iran,2019,110.00000000000001
Iran,2020,102.9322505
Iran,2021,103.00000000000001
Iraq,2015,98.54899999999999
Iraq,2016,107.474
Iraq,2017,110.27104854583699
Iraq,2018,101.00000000000001
Iraq,2019,104.29999999999998
Iraq,2020,98.20187089999999
Iraq,2021,91.0
Ireland,2015,133.596
Ireland,2016,148.34099999999998
Ireland,2017,153.570663928986
Ireland,2018,144.79999999999998
Ireland,2019,149.9
Ireland,2020,144.68867780000005
Ireland,2021,164.39999999999998
Israel,2015,122.857
Israel,2016,133.76600000000002
Israel,2017,137.538242340088
Israel,2018,130.10000000000002
Israel,2019,127.60000000000002
Israel,2020,121.64636849999998
Israel,2021,137.6
Italy,2015,125.11399999999999
Italy,2016,135.495
Italy,2017,139.506661891937
Italy,2018,126.4
Italy,2019,129.4
Italy,2020,123.6396074
Italy,2021,139.3
Ivory Coast,2015,46.534000000000006
Ivory Coast,2016,55.507
Ivory Coast,2017,60.3048920631409
Ivory Coast,2018,54.099999999999994
Ivory Coast,2019,56.9
Ivory Coast,2020,53.7094414
Ivory Coast,2021,66.9
Jamaica,2015,81.03800000000001
Jamaica,2016,89.333
Jamaica,2017,92.55793094635011
Jamaica,2018,81.89999999999999
Jamaica,2019,83.1
Jamaica,2020,77.9058397
Jamaica,2021,89.1
Japan,2015,127.074
Japan,2016,138.007
Japan,2017,141.691517829895
Japan,2018,129.4
Japan,2019,132.7
Japan,2020,126.67241099999998
Japan,2021,138.9
Jordan,2015,90.19800000000001
Jordan,2016,99.67299999999999
Jordan,2017,99.10123944282527
Jordan,2018,82.19999999999999
Jordan,2019,83.7
Jordan,2020,78.5179198
Jordan,2021,89.0
Kazakhstan,2015,112.254
Kazakhstan,2016,122.94299999999998
Kazakhstan,2017,128.45562696456898
Kazakhstan,2018,114.30000000000001
Kazakhstan,2019,117.3
Kazakhstan,2020,112.25942369999999
