"Country","Year","Avg_score"
Denmark,2019,7.6
Denmark,2020,7.645599842
Denmark,2021,7.619999999999999
Djibouti,2015,4.369
Dominican Republic,2015,4.885
Dominican Republic,2016,5.155
Dominican Republic,2017,5.23000001907349
Dominican Republic,2018,5.302
Dominican Republic,2019,5.425
Dominican Republic,2020,5.689199924
Dominican Republic,2021,5.544999999999999
Ecuador,2015,5.974999999999999
Ecuador,2016,5.976
Ecuador,2017,6.007999897003169
Ecuador,2018,5.973000000000001
Ecuador,2019,6.028
Ecuador,2020,5.925199986000001
Ecuador,2021,5.763999999999999
Egypt,2015,4.194
Egypt,2016,4.362
Egypt,2017,4.735000133514399
Egypt,2018,4.419
Egypt,2019,4.166
Egypt,2020,4.151400089
Egypt,2021,4.2829999999999995
El Salvador,2015,6.130000000000001
El Salvador,2016,6.068
El Salvador,2017,6.00299978256226
El Salvador,2018,6.167000000000001
El Salvador,2019,6.253
El Salvador,2020,6.34829998
El Salvador,2021,6.061
Estonia,2015,5.429000000000001
Estonia,2016,5.5169999999999995
Estonia,2017,5.611000061035159
Estonia,2018,5.739
Estonia,2019,5.892999999999999
Estonia,2020,6.021800041
Estonia,2021,6.189000000000003
Ethiopia,2015,4.5120000000000005
Ethiopia,2016,4.508
Ethiopia,2017,4.46000003814697
Ethiopia,2018,4.3500000000000005
Ethiopia,2019,4.286
Ethiopia,2020,4.186200142
Ethiopia,2021,4.2749999999999995
Finland,2015,7.406000000000001
Finland,2016,7.413000000000001
Finland,2017,7.468999862670899
Finland,2018,7.6320000000000014
Finland,2019,7.769
Finland,2020,7.808700084999998
Finland,2021,7.841999999999999
France,2015,6.575
France,2016,6.478
France,2017,6.441999912261961
France,2018,6.488999999999999
France,2019,6.591999999999999
France,2020,6.663799763000001
France,2021,6.6899999999999995
Gabon,2015,3.8960000000000004
Gabon,2016,4.121
Gabon,2017,4.46500015258789
Gabon,2018,4.758
Gabon,2019,4.799
Gabon,2020,4.829299926999999
Gabon,2021,4.852
Gambia,2019,4.516
Gambia,2020,4.7505998609999995
Gambia,2021,5.051
Georgia,2015,4.297
Georgia,2016,4.252
Georgia,2017,4.28599977493286
Georgia,2018,4.34
Georgia,2019,4.519
Georgia,2020,4.672599791999999
Georgia,2021,4.890999999999999
Germany,2015,6.75
Germany,2016,6.994000000000001
Germany,2017,6.951000213623051
Germany,2018,6.965000000000001
Germany,2019,6.985000000000001
Germany,2020,7.075799942
Germany,2021,7.155
Ghana,2015,4.633
Ghana,2016,4.276
Ghana,2017,4.11999988555908
Ghana,2018,4.656999999999999
Ghana,2019,4.996
Ghana,2020,5.1479997630000005
Ghana,2021,5.087999999999999
Greece,2015,4.857
Greece,2016,5.0329999999999995
Greece,2017,5.22700023651123
Greece,2018,5.3580000000000005
Greece,2019,5.287
Greece,2020,5.514999866000001
Greece,2021,5.723
Guatemala,2015,6.123
Guatemala,2016,6.324
Guatemala,2017,6.4539999961853
Guatemala,2018,6.381999999999999
Guatemala,2019,6.436
Guatemala,2020,6.398900031999999
Guatemala,2021,6.435
Guinea,2015,3.656
Guinea,2016,3.6070000000000007
Guinea,2017,3.5069999694824197
Guinea,2018,3.9640000000000004
Guinea,2019,4.534
Guinea,2020,4.949299812
Guinea,2021,4.984
Haiti,2015,4.518
Haiti,2016,4.028
Haiti,2017,3.6029999256133998
Haiti,2018,3.5820000000000003
Haiti,2019,3.597
Haiti,2020,3.7207999229999995
Haiti,2021,3.615
Honduras,2015,4.788
Honduras,2016,4.871
Honduras,2017,5.1810002326965305
Honduras,2018,5.504
Honduras,2019,5.860000000000001
Honduras,2020,5.953199863
Honduras,2021,5.919
Hong Kong,2015,5.474
Hong Kong,2016,5.458
Hong Kong,2018,5.43
Hong Kong,2019,5.429999999999999
Hong Kong S.A.R. of China,2020,5.510399818000001
Hong Kong S.A.R. of China,2021,5.477000000000001
"Hong Kong S.A.R., China",2017,5.47200012207031
Hungary,2015,4.8
Hungary,2016,5.145
Hungary,2017,5.323999881744381
Hungary,2018,5.62
Hungary,2019,5.758
Hungary,2020,6.000400066
Hungary,2021,5.992
Iceland,2015,7.561
Iceland,2016,7.5009999999999994
Iceland,2017,7.5040001869201705
Iceland,2018,7.495
Iceland,2019,7.494
Iceland,2020,7.504499912
Iceland,2021,7.554
India,2015,4.565
India,2016,4.404
India,2017,4.31500005722046
India,2018,4.19
India,2019,4.015
India,2020,3.5732998850000004
India,2021,3.819
Indonesia,2015,5.398999999999999
Indonesia,2016,5.314000000000001
Indonesia,2017,5.26200008392334
Indonesia,2018,5.092999999999999
Indonesia,2019,5.192
Indonesia,2020,5.285600185
Indonesia,2021,5.345
Iran,2015,4.686
Iran,2016,4.813
Iran,2017,4.69199991226196
Iran,2018,4.707
Iran,2019,4.548
Iran,2020,4.672399998
Iran,2021,4.720999999999999
Iraq,2015,4.676999999999999
Iraq,2016,4.575
Iraq,2017,4.49700021743774
Iraq,2018,4.456
Iraq,2019,4.436999999999999
Iraq,2020,4.784800052999999
Iraq,2021,4.853999999999999
Ireland,2015,6.94
Ireland,2016,6.907000000000001
Ireland,2017,6.97700023651123
Ireland,2018,6.977000000000001
Ireland,2019,7.020999999999999
Ireland,2020,7.093699931999999
Ireland,2021,7.085000000000002
Israel,2015,7.278
Israel,2016,7.267000000000001
Israel,2017,7.212999820709231
Israel,2018,6.814
Israel,2019,7.139
Israel,2020,7.128600121000001
Israel,2021,7.157
Italy,2015,5.9479999999999995
Italy,2016,5.977
Italy,2017,5.96400022506714
Italy,2018,6.0
Italy,2019,6.223
Italy,2020,6.38740015
Italy,2021,6.483
Ivory Coast,2015,3.6549999999999994
Ivory Coast,2016,3.9159999999999995
Ivory Coast,2017,4.17999982833862
Ivory Coast,2018,4.671
Ivory Coast,2019,4.944
Ivory Coast,2020,5.233300209
Ivory Coast,2021,5.306
Jamaica,2015,5.709
Jamaica,2016,5.51
Jamaica,2017,5.31099987030029
Jamaica,2018,5.89
Jamaica,2019,5.889999999999999
Jamaica,2020,5.889800072
Jamaica,2021,6.308999999999999
Japan,2015,5.986999999999999
Japan,2016,5.921
Japan,2017,5.920000076293951
Japan,2018,5.915
Japan,2019,5.886
Japan,2020,5.870800018000001
Japan,2021,5.94
Jordan,2015,5.192000000000001
Jordan,2016,5.303
Jordan,2017,5.33599996566772
Jordan,2018,5.161
Jordan,2019,4.906
Jordan,2020,4.6333999630000005
Jordan,2021,4.395
Kazakhstan,2015,5.855
Kazakhstan,2016,5.9190000000000005
Kazakhstan,2017,5.818999767303471
Kazakhstan,2018,5.790000000000001
Kazakhstan,2019,5.809
Kazakhstan,2020,6.057899952
Kazakhstan,2021,6.152
Kenya,2015,4.419
Kenya,2016,4.356
Kenya,2017,4.55299997329712
Kenya,2018,4.41
Kenya,2019,4.509
Kenya,2020,4.583000183
Kenya,2021,4.607
Kosovo,2015,5.589
Kosovo,2016,5.401
Kosovo,2017,5.2789998054504395
Kosovo,2018,4.246499999999999
Kosovo,2019,6.1
Kosovo,2020,6.325200081
Kosovo,2021,6.371999999999999
Kuwait,2015,6.295000000000001
Kuwait,2016,6.238999999999999
Kuwait,2017,6.105000019073489
Kuwait,2018,6.082999999999999
Kuwait,2019,6.021
Kuwait,2020,6.102099895
Kuwait,2021,6.106
Kyrgyzstan,2015,5.286
Kyrgyzstan,2016,5.1850000000000005
Kyrgyzstan,2017,5.00400018692017
Kyrgyzstan,2018,5.131
Kyrgyzstan,2019,5.261
Kyrgyzstan,2020,5.541500092000001
Kyrgyzstan,2021,5.744
Laos,2015,4.876000000000001
Laos,2016,4.876
Laos,2018,4.623
Laos,2019,4.796
Laos,2020,4.888599873
Laos,2021,5.03
Latvia,2015,5.098
Latvia,2016,5.56
Latvia,2017,5.84999990463257
Latvia,2018,5.933
Latvia,2019,5.940000000000001
Latvia,2020,5.949999809000001
Latvia,2021,6.031999999999999
Lebanon,2015,4.8389999999999995
Lebanon,2016,5.1290000000000004
Lebanon,2017,5.22499990463257
Lebanon,2018,5.358
Lebanon,2019,5.197
Lebanon,2020,4.771500111
Lebanon,2021,4.584
Lesotho,2015,4.898
Lesotho,2017,3.8080000877380398
Lesotho,2018,3.808
Lesotho,2019,3.8019999999999996
Lesotho,2020,3.652800083
Lesotho,2021,3.512
Liberia,2015,4.571
Liberia,2016,3.622
Liberia,2017,3.53299999237061
Liberia,2018,3.4949999999999997
Liberia,2019,3.975
Liberia,2020,4.5578999520000005
Liberia,2021,4.624999999999999
Libya,2015,5.753999999999999
Libya,2016,5.615000000000001
Libya,2017,5.525000095367431
Libya,2018,5.566
Libya,2019,5.525000000000001
Libya,2020,5.488800049
Libya,2021,5.409999999999999
Lithuania,2015,5.833
Lithuania,2016,5.812999999999999
Lithuania,2017,5.90199995040894
Lithuania,2018,5.952000000000001
Lithuania,2019,6.148999999999999
Lithuania,2020,6.215499877999999
Lithuania,2021,6.255
Luxembourg,2015,6.945999999999999
Luxembourg,2016,6.871
Luxembourg,2017,6.86299991607666
Luxembourg,2018,6.91
Luxembourg,2019,7.090000000000001
Luxembourg,2020,7.2375001910000005
Luxembourg,2021,7.324
Macedonia,2015,5.007000000000001
Macedonia,2016,5.121
Macedonia,2017,5.175000190734859
Macedonia,2018,5.185
Macedonia,2020,5.159800052999999
Madagascar,2015,3.681
Madagascar,2016,3.6950000000000003
Madagascar,2017,3.6440000534057604
Madagascar,2018,3.7739999999999996
Madagascar,2019,3.9330000000000007
Madagascar,2020,4.165599823
Madagascar,2021,4.208
Malawi,2015,4.291999999999999
Malawi,2016,4.156000000000001
Malawi,2017,3.9700000286102295
Malawi,2018,3.5870000000000006
Malawi,2019,3.41
Malawi,2020,3.5380001070000002
Malawi,2021,3.5999999999999996
Malaysia,2015,5.77
Malaysia,2016,6.005000000000001
Malaysia,2017,6.084000110626219
Malaysia,2018,6.322
Malaysia,2019,5.339000000000001
Malaysia,2020,5.384300232
Malaysia,2021,5.384
Maldives,2020,5.197599888
Maldives,2021,5.1979999999999995
Mali,2015,3.995
Mali,2016,4.073
Mali,2017,4.190000057220461
Mali,2018,4.447
Mali,2019,4.39
Mali,2020,4.729300022
Mali,2021,4.723
Malta,2015,6.302
Malta,2016,6.488
Malta,2017,6.52699995040894
Malta,2018,6.627
Malta,2019,6.725999999999999
Malta,2020,6.772799969
Malta,2021,6.602000000000001
Mauritania,2015,4.435999999999999
Mauritania,2016,4.200999999999999
Mauritania,2017,4.29199981689453
Mauritania,2018,4.356
Mauritania,2019,4.489999999999999
Mauritania,2020,4.374599933999999
Mauritania,2021,4.227000000000001
Mauritius,2015,5.477
Mauritius,2016,5.647999999999999
Mauritius,2017,5.62900018692017
Mauritius,2018,5.891
Mauritius,2019,5.888
Mauritius,2020,6.101299763
Mauritius,2021,6.0489999999999995
Mexico,2015,7.187000000000002
Mexico,2016,6.777999999999999
Mexico,2017,6.57800006866455
Mexico,2018,6.488
Mexico,2019,6.594999999999999
Mexico,2020,6.465000153000001
Mexico,2021,6.317000000000001
Moldova,2015,5.888999999999999
Moldova,2016,5.896999999999999
Moldova,2017,5.837999820709231
Moldova,2018,5.639999999999999
Moldova,2019,5.529
Moldova,2020,5.607500075999999
Moldova,2021,5.766
Mongolia,2015,4.874
Mongolia,2016,4.907
Mongolia,2017,4.954999923706049
Mongolia,2018,5.124999999999999
Mongolia,2019,5.285
Mongolia,2020,5.4562001229999995
Mongolia,2021,5.677
Montenegro,2015,5.192
Montenegro,2016,5.1610000000000005
Montenegro,2017,5.23699998855591
Montenegro,2018,5.347
Montenegro,2019,5.523
Montenegro,2020,5.54610014
Montenegro,2021,5.581
Morocco,2015,5.013
Morocco,2016,5.151
Morocco,2017,5.2350001335144
Morocco,2018,5.253999999999999
Morocco,2019,5.208
Morocco,2020,5.094799995000001
Morocco,2021,4.918
Mozambique,2015,4.971
Mozambique,2017,4.550000190734859
Mozambique,2018,4.417
Mozambique,2019,4.465999999999999
Mozambique,2020,4.623600006
Mozambique,2021,4.794
Myanmar,2015,4.307
Myanmar,2016,4.395
Myanmar,2017,4.54500007629395
Myanmar,2018,4.308
Myanmar,2019,4.36
Myanmar,2020,4.308000088
Myanmar,2021,4.425999999999999
Namibia,2016,4.574
Namibia,2017,4.57399988174438
Namibia,2018,4.441
Namibia,2019,4.639
Namibia,2020,4.571100235
Namibia,2021,4.574
Nepal,2015,4.514
Nepal,2016,4.793
Nepal,2017,4.96199989318848
Nepal,2018,4.879999999999998
Nepal,2019,4.912999999999999
Nepal,2020,5.137199879000001
Nepal,2021,5.269000000000001
Netherlands,2015,7.378
Netherlands,2016,7.339
Netherlands,2017,7.376999855041501
Netherlands,2018,7.441
Netherlands,2019,7.488000000000001
Netherlands,2020,7.448900223
Netherlands,2021,7.464000000000001
New Zealand,2015,7.286000000000001
New Zealand,2016,7.333999999999999
New Zealand,2017,7.31400012969971
New Zealand,2018,7.324
New Zealand,2019,7.307
New Zealand,2020,7.2996001239999995
New Zealand,2021,7.277
Nicaragua,2015,5.827999999999999
Nicaragua,2016,5.992
Nicaragua,2017,6.07100009918213
Nicaragua,2018,6.141
Nicaragua,2019,6.105
Nicaragua,2020,6.137100219999999
Nicaragua,2021,5.972
Niger,2015,3.845
Niger,2016,3.8560000000000003
Niger,2017,4.02799987792969
Niger,2018,4.1659999999999995
Niger,2019,4.627999999999999
Niger,2020,4.909599781000001
Niger,2021,5.074
Nigeria,2015,5.268
Nigeria,2016,4.875
Nigeria,2017,5.07399988174438
Nigeria,2018,5.155
Nigeria,2019,5.265000000000001
Nigeria,2020,4.7241001129999995
Nigeria,2021,4.759
North Cyprus,2015,5.695
North Cyprus,2016,5.771
North Cyprus,2017,5.809999942779539
North Cyprus,2020,5.53550005
North Cyprus,2021,5.5360000000000005
North Macedonia,2019,5.273999999999999
North Macedonia,2021,5.101000000000001
Northern Cyprus,2018,5.835000000000001
Northern Cyprus,2019,5.718
Norway,2015,7.522000000000001
Norway,2016,7.498
Norway,2017,7.53700017929077
Norway,2018,7.594000000000001
Norway,2019,7.554000000000001
Norway,2020,7.487999916
Norway,2021,7.392
Oman,2015,6.853000000000001
Pakistan,2015,5.194
Pakistan,2016,5.132
Pakistan,2017,5.26900005340576
Pakistan,2018,5.472
Pakistan,2019,5.653
Pakistan,2020,5.69329977
Pakistan,2021,4.934
Palestinian Territories,2015,4.715
Palestinian Territories,2016,4.7540000000000004
Palestinian Territories,2017,4.77500009536743
Palestinian Territories,2018,4.743
Palestinian Territories,2019,4.696
Palestinian Territories,2020,4.552800179
Palestinian Territories,2021,4.517
Panama,2015,6.7860000000000005
Panama,2016,6.700999999999998
Panama,2017,6.452000141143799
Panama,2018,6.43
Panama,2019,6.321
Panama,2020,6.304800034
Panama,2021,6.18
Paraguay,2015,5.878
Paraguay,2016,5.537999999999999
Paraguay,2017,5.493000030517581
Paraguay,2018,5.681
Paraguay,2019,5.742999999999999
Paraguay,2020,5.692100048
Paraguay,2021,5.6530000000000005
Peru,2015,5.824000000000001
Peru,2016,5.743
Peru,2017,5.71500015258789
Peru,2018,5.663
Peru,2019,5.697000000000001
Peru,2020,5.796800137000001
Peru,2021,5.840000000000001
Philippines,2015,5.073000000000001
Philippines,2016,5.279
Philippines,2017,5.42999982833862
Philippines,2018,5.524000000000001
Philippines,2019,5.631
Philippines,2020,6.006000042
Philippines,2021,5.88
Poland,2015,5.791000000000001
Poland,2016,5.835000000000001
Poland,2017,5.97300004959106
Poland,2018,6.122999999999998
Poland,2019,6.182
Poland,2020,6.186299800999999
Poland,2021,6.166
Portugal,2015,5.102
Portugal,2016,5.123
Portugal,2017,5.19500017166138
Portugal,2018,5.409999999999999
Portugal,2019,5.693
Portugal,2020,5.9109001160000005
Portugal,2021,5.928999999999999
Puerto Rico,2016,7.038999999999999
Qatar,2015,6.611
Qatar,2016,6.374999999999999
Qatar,2017,6.375
Qatar,2018,6.374
Qatar,2019,6.374
Romania,2015,5.124
Romania,2016,5.528
Romania,2017,5.82499980926514
Romania,2018,5.945
Romania,2019,6.07
Romania,2020,6.123700142
Romania,2021,6.140000000000001
Russia,2015,5.716000000000001
Russia,2016,5.856
Russia,2017,5.962999820709231
Russia,2018,5.81
Russia,2019,5.648
Russia,2020,5.546000003999999
Russia,2021,5.477
Rwanda,2015,3.465
Rwanda,2016,3.515
Rwanda,2017,3.4709999561309792
Rwanda,2018,3.408
Rwanda,2019,3.334000000000001
Rwanda,2020,3.3122999669999995
Rwanda,2021,3.4149999999999996
Saudi Arabia,2015,6.411
Saudi Arabia,2016,6.379
Saudi Arabia,2017,6.3439998626709
Saudi Arabia,2018,6.371
Saudi Arabia,2019,6.375
Saudi Arabia,2020,6.406499862999999
Saudi Arabia,2021,6.494
Senegal,2015,3.9039999999999995
Senegal,2016,4.219
Senegal,2017,4.53499984741211
Senegal,2018,4.631
Senegal,2019,4.681
Senegal,2020,4.980800151999999
Senegal,2021,5.132000000000001
Serbia,2015,5.123
Serbia,2016,5.177
Serbia,2017,5.394999980926511
Serbia,2018,5.398
Serbia,2019,5.603000000000001
